"OBJECTID","LocationID","Species","Run","UseType","HUC10","HUC12","CA_POPID","Count"
112,"1201623486035","Chinook","Spring","Rearing and migration","1702000804","170200080408",46,1
113,"1178621461811","Steelhead","Summer","Rearing and migration","1707010203","170701020303",69,17
114,"1179853461064","Steelhead","Summer","Migration only","1707010203","170701020304",69,3
115,"1178565463363","Steelhead","Summer","Migration only","1707010203","170701020305",69,23
115,"1198933480501","Chinook","Spring","Spawning and rearing","1702000802","170200080205",46,29
115,"1198933480501","Chinook","Spring","Spawning and rearing","1702000806","170200080602",46,65
116,"1179735461208","Steelhead","Summer","Migration only","1707010203","170701020304",69,7
116,"1203622477359","Chinook","Spring","Migration only","1702001001","170200100103",45,15
117,"1178825459132","Steelhead","Summer","Migration only","1706010603","170601060301",83,22
117,"1202169476606","Chinook","Spring","Spawning and rearing","1702001002","170200100204",45,4
118,"1176742463327","Steelhead","Summer","Spawning and rearing","1706010706","170601070603",69,1
118,"1176742463327","Steelhead","Summer","Spawning and rearing","1706010706","170601070604",69,31
118,"1203622477359","Chinook","Spring","Spawning and rearing","1702001001","170200100103",45,18
118,"1203622477359","Chinook","Spring","Spawning and rearing","1702001002","170200100207",45,1
119,"1179856458763","Steelhead","Summer","Migration only","1707010201","170701020101",71,8
119,"1201739485777","Chinook","Spring","Rearing and migration","1702000804","170200080406",46,5
119,"1201739485777","Chinook","Spring","Rearing and migration","1702000804","170200080408",46,1
120,"1174262461968","Steelhead","Summer","Migration only","1706010302","170601030201",90,2
120,"1200941481881","Chinook","Spring","Spawning and rearing","1702000807","170200080704",46,24
120,"1200941481881","Chinook","Spring","Spawning and rearing","1702000807","170200080706",46,1
121,"1175468464737","Steelhead","Summer","Rearing and migration","1706010705","170601070502",91,9
122,"1175523459767","Steelhead","Summer","Migration only","1706010603","170601060312",83,1
122,"1175523459767","Steelhead","Summer","Migration only","1706010603","170601060311",83,8
123,"1179867465091","Steelhead","Summer","Migration only","1706010705","170601070503",91,26
123,"1179867465091","Steelhead","Summer","Migration only","1706010705","170601070505",91,65
123,"1179867465091","Steelhead","Summer","Migration only","1706010705","170601070506",91,27
123,"1179867465091","Steelhead","Summer","Migration only","1706010706","170601070608",69,1
123,"1202169476606","Chinook","Spring","Migration only","1702001002","170200100204",45,8
124,"1174592463693","Steelhead","Summer","Migration only","1706010701","170601070101",90,12
124,"1201369487589","Chinook","Spring","Spawning and rearing","1702000803","170200080305",46,33
124,"1201369487589","Chinook","Spring","Spawning and rearing","1702000803","170200080306",46,1
125,"1173612467076","Steelhead","Summer","Migration only","1706010708","170601070801",91,1
126,"1175832465906","Steelhead","Summer","Migration only","1706010703","170601070302",91,34
126,"1175832465906","Steelhead","Summer","Migration only","1706010703","170601070306",91,1
126,"1202169476606","Chinook","Spring","Rearing and migration","1702001002","170200100209",45,10
127,"1176855458751","Steelhead","Summer","Migration only","1706010601","170601060105",83,15
128,"1179853461054","Steelhead","Summer","Spawning and rearing","1707010203","170701020304",69,7
128,"1202169476606","Chinook","Spring","Rearing and migration","1702001002","170200100204",45,9
129,"1175832465916","Steelhead","Summer","Migration only","1706010703","170601070301",91,7
129,"1175832465916","Steelhead","Summer","Migration only","1706010703","170601070306",91,1
129,"1201177483686","Chinook","Spring","Rearing and migration","1702000806","170200080610",46,1
130,"1174512459454","Steelhead","Summer","Migration only","1706010603","170601060305",83,33
130,"1174512459454","Steelhead","Summer","Migration only","1706010603","170601060308",83,1
130,"1202169476606","Chinook","Spring","Rearing and migration","1702001002","170200100207",45,2
131,"1180646459885","Steelhead","Summer","Migration only","1707010202","170701020202",71,15
132,"1174691466997","Steelhead","Summer","Spawning and rearing","1706010708","170601070801",91,20
132,"1200071481059","Chinook","Spring","Rearing and migration","1702000807","170200080706",46,2
133,"1178565463363","Steelhead","Summer","Spawning and rearing","1707010203","170701020305",69,22
133,"1201619484547","Chinook","Spring","Rearing and migration","1702000806","170200080604",46,4
133,"1201619484547","Chinook","Spring","Rearing and migration","1702000806","170200080605",46,1
134,"1174943458963","Steelhead","Summer","Migration only","1706010602","170601060202",83,16
134,"1174943458963","Steelhead","Summer","Migration only","1706010602","170601060210",83,1
134,"1203796485714","Chinook","Spring","Rearing and migration","1702000806","170200080602",46,1
135,"1174728458987","Steelhead","Summer","Migration only","1706010602","170601060207",83,41
135,"1174728458987","Steelhead","Summer","Migration only","1706010602","170601060210",83,1
135,"1174728458987","Steelhead","Summer","Migration only","1706010602","170601060203",83,5
135,"1174728458987","Steelhead","Summer","Migration only","1706010602","170601060204",83,27
135,"1202169476606","Chinook","Spring","Rearing and migration","1702001002","170200100207",45,12
135,"1202169476606","Chinook","Spring","Rearing and migration","1702001002","170200100209",45,3
136,"1178232462227","Steelhead","Summer","Migration only","1707010203","170701020302",69,6
136,"1202169476606","Chinook","Spring","Spawning and rearing","1702001002","170200100209",45,6
137,"1169845460718","Steelhead","Summer","Migration only","1706010303","170601030303",90,1
138,"1181367461197","Steelhead","Summer","Spawning and rearing","1707010208","170701020801",71,1
138,"1202305484907","Chinook","Spring","Spawning and rearing","1702000806","170200080603",46,9
138,"1202305484907","Chinook","Spring","Spawning and rearing","1702000806","170200080605",46,1
139,"1175800458802","Steelhead","Summer","Migration only","1706010601","170601060106",83,13
139,"1198933480501","Chinook","Spring","Rearing and migration","1702000802","170200080205",46,25
140,"1176238460458","Steelhead","Summer","Spawning and rearing","1706010603","170601060309",83,15
140,"1176238460458","Steelhead","Summer","Spawning and rearing","1706010603","170601060311",83,1
141,"1178952462377","Steelhead","Summer","Spawning and rearing","1707010203","170701020303",69,30
142,"1174462458488","Steelhead","Summer","Migration only","1706010602","170601060207",83,1
142,"1174462458488","Steelhead","Summer","Migration only","1706010602","170601060206",83,54
142,"1202169476606","Chinook","Spring","Rearing and migration","1702001002","170200100209",45,2
143,"1179735461208","Steelhead","Summer","Rearing and migration","1707010203","170701020304",69,1
143,"1202305484907","Chinook","Spring","Rearing and migration","1702000806","170200080603",46,6
144,"1175297457652","Steelhead","Summer","Migration only","1706010602","170601060201",83,9
145,"1173832466356","Steelhead","Summer","Migration only","1706010702","170601070205",90,3
145,"1201417484147","Chinook","Spring","Rearing and migration","1702000806","170200080605",46,2
146,"1173470460173","Steelhead","Summer","Spawning and rearing","1706010607","170601060709",83,2
147,"1173781458628","Steelhead","Summer","Migration only","1706010602","170601060209",83,1
147,"1173781458628","Steelhead","Summer","Migration only","1706010602","170601060208",83,2
